Courier code,Courier name,物流商名称
paquetexpress,Paquetexpress,Paquetexpress
parcel2go,Parcel2GO,Parcel2GO
posthaste,Post Haste,Post Haste
pplcz,PPL CZ,PPL CZ
redpack,Redpack,Redpack
runnerexpress,Runner Express,Runner Express
sagawaglobal,Sagawa Global,Sagawa Global
shadowfax,Shadowfax,Shadowfax
skypostal,SkyPostal,SkyPostal
speedy,Speedy,Speedy
springgds,Spring GDS,Spring GDS
starken,Starken,Starken
straightship,Straightship,迅联捷航
swiship,Swiship,Swiship
tcs,TCS,TCS
thecourierguy,The Courier Guy,The Courier Guy
tonami,Tonami,Tonami
ukmail,UK Mail,UK Mail
uniteddelivery,United Delivery Service,United Delivery Service
xdpexpress,XDP EXPRESS,XDP EXPRESS
zinc,Zinc,Zinc
quantium,Quantium Solutions,冠庭国际物流
kerryexpressth,Kerry Express (TH),嘉里物流(泰国)
eqt,EQT,EQT
ewe,EWE Global Express,EWE全球物流
ews,EWS,EWS-YQ
gati,Gati,迦递货运
wwe,WWE,WWE
yhr,YuanHao Logistics,元昊物流
basaexp,Basa International,巴萨国际
chuangyulogistics,Chuangyu Logistics,创宇物流
deppon,Deppon,德邦
hyexpress,HY Express,浩远国际
hsdexpress,HSD Express,鸿盛达国际
hhw,HuaHan Logistics,华翰物流
huaxiexpress,HuaXi Express,华熙国际
jtexpresscn,J&T Express (CN),极兔速递
jpsgj,JPSGJ,捷谱斯国际
adglobal,JD Logistics,JD Logistics
cpex,CPEX,凯普
hilife,HiLiFe,莱尔富
pyexpress,PY Express,派优供应链
qianliniao,QLN,千里鸟
runforint,RFL,润峯物流
shoplinelogistics,Shopline Logistics,商链物流
zce,ZCE,上海翼速
stochina,STO Express,申通快递
lyeb2clogistics,LeiYi international logistics,深圳市雷翼国际物流
sutologistics,Suto Logistics,速通物流
syd,SYD,速邮达物流
wldexpress,WLD Express,万立德国际
wse,WSE Logistics,威速易物流
xqe,XQE,星前物流
fly,FIRST LINE,壹号专线
yimidida,YiMiDiDa,壹米滴答
ecms,ECMS,易客满
ucexpress,UC Express,优速快递
ywe,YWGJ,有为国际
tocinda,Tocinda,至信达
zto,ZTO International,中通国际
ztoexpress,ZTO Express,中通快递
bgpost,Bulgarian Post,保加利亚邮政
israel-post,Israel Post,以色列邮政
dylt,Daylight Transport,Daylight Transport
tforce-finalmile,TForce Final Mile,TForce Final Mile
rincos,Rincos,Rincos
austrian-post,Austrian Post,奥地利邮政
yrc,YRC,YRC
speedee,Spee-Dee Delivery,Spee-Dee Delivery
dtdc,DTDC,DTDC
seko,SEKO Logistics,SEKO Logistics
dhl-germany,DHL Paket,DHL Paket
shiprocket,ShipRocket,ShipRocket
ontask-express,Ontask Express,广州安时达
smartr-logistics,Smartr Logistics,Smartr Logistics
sjlexpress,SJL Express,上海捷力
singapore-post,Singapore Post,新加坡邮政
wish-post,WishPost,Wish邮
latvijas-pasts,Latvia Post,拉脱维亚邮政
kambt,Kambt,锦博天国际货运
shree-maruti,Shree Maruti Courier,Shree Maruti Courier
deutsche-post,Deutsche Post Mail,德国邮政
budbee,Budbee,Budbee
post_in,India Post,印度邮政
pickrr,Pickrr,Pickrr
ontrac,Ontrac,Ontrac
shreeanjanicourier,Shree Anjani Courier,Shree Anjani Courier
omniva,Omniva,Omniva
trax,Trax,Trax
shypmax,Shypmax,Shypmax
stcourier,ST Courier,ST Courier
ysd,YSD Logistics,赢时达
seur,Seur,Seur
payo,Payo,Payo
tpl_rider,TPL Rider,TPL Rider
mulphilog,M&P Express Logistics,M&P Express Logistics
callcourier,CallCourier,CallCourier
parcll,CIRRO E-Commerce,CIRRO E-Commerce
parcelforce,Parcelforce,Parcelforce
asendiade,Asendia Germany,Asendia Germany
